GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new Answer() {...},0,13,0,0,0,3,0,2,0,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new SolrParams() {...},4,8,0,0,2,2,2,2,2,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new Answer() {...},0,13,0,0,0,3,0,2,0,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new SolrParams() {...},6,12,1,1,3,3,3,2,2,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new Answer() {...},0,8,0,0,0,2,0,2,0,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new SolrParams() {...},6,12,1,1,3,3,3,2,2,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderOptionsTest,8,41,2,2,0,11,2,4,0,4
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new Answer() {...},0,13,0,0,0,3,0,2,0,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new SolrParams() {...},6,12,1,1,3,3,3,2,2,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,Order.OrderNamesHolder,0,16,0,0,0,4,0,3,0,3
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new Answer() {...},0,13,0,0,0,3,0,2,0,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponent,0,136,0,12,0,35,0,11,0,5
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,TermsVectorComparator,0,71,0,10,0,18,0,8,0,3
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new SolrParams() {...},5,17,1,1,2,2,3,2,2,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,SortedNamedList,0,49,0,2,0,13,0,4,0,3
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest.new Answer() {...},0,8,0,0,0,2,0,2,0,2
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderTest,0,65,0,0,0,19,0,10,0,10
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderOptions,0,22,0,0,0,7,0,4,0,4
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,TermsVectorComparatorTest,0,225,0,0,0,50,0,6,0,6
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,Order,0,49,0,6,0,11,0,7,0,4
SOLR - Terms Vector Orderer,com.mriss.dsh.solr.vectororderer,OrderedTermVectorComponentTest,15,468,7,17,2,97,7,17,0,12
